Designator,Mid X,Mid Y,Rotation,Layer
D439,120.0,-92.0,0.0,top
D44,76.0,-44.0,0.0,top
D440,124.0,-92.0,0.0,top
D441,128.0,-92.0,0.0,top
D442,132.0,-92.0,0.0,top
D443,136.0,-92.0,0.0,top
D444,140.0,-92.0,0.0,top
D445,144.0,-92.0,0.0,top
D446,148.0,-92.0,0.0,top
D447,152.0,-92.0,0.0,top
D448,156.0,-92.0,0.0,top
D449,160.0,-92.0,0.0,top
D45,80.0,-44.0,0.0,top
D450,164.0,-92.0,0.0,top
D451,40.0,-96.0,0.0,top
D452,44.0,-96.0,0.0,top
D453,48.0,-96.0,0.0,top
D454,52.0,-96.0,0.0,top
D455,56.0,-96.0,0.0,top
D456,60.0,-96.0,0.0,top
D457,64.0,-96.0,0.0,top
D458,68.0,-96.0,0.0,top
D459,72.0,-96.0,0.0,top
D46,84.0,-44.0,0.0,top
D460,76.0,-96.0,0.0,top
D461,80.0,-96.0,0.0,top
D462,84.0,-96.0,0.0,top
D463,88.0,-96.0,0.0,top
D464,92.0,-96.0,0.0,top
D465,96.0,-96.0,0.0,top
D466,100.0,-96.0,0.0,top
D467,104.0,-96.0,0.0,top
D468,108.0,-96.0,0.0,top
D469,112.0,-96.0,0.0,top
D47,88.0,-44.0,0.0,top
D470,116.0,-96.0,0.0,top
D471,120.0,-96.0,0.0,top
D472,124.0,-96.0,0.0,top
D473,128.0,-96.0,0.0,top
D474,132.0,-96.0,0.0,top
D475,136.0,-96.0,0.0,top
D476,140.0,-96.0,0.0,top
D477,144.0,-96.0,0.0,top
D478,148.0,-96.0,0.0,top
D479,152.0,-96.0,0.0,top
D48,92.0,-44.0,0.0,top
D480,156.0,-96.0,0.0,top
D481,160.0,-96.0,0.0,top
D482,164.0,-96.0,0.0,top
D483,40.0,-100.0,0.0,top
D484,44.0,-100.0,0.0,top
D485,48.0,-100.0,0.0,top
D486,52.0,-100.0,0.0,top
D487,56.0,-100.0,0.0,top
D488,60.0,-100.0,0.0,top
D489,64.0,-100.0,0.0,top
D49,96.0,-44.0,0.0,top
D490,68.0,-100.0,0.0,top
D491,72.0,-100.0,0.0,top
D492,76.0,-100.0,0.0,top
D493,80.0,-100.0,0.0,top
D494,84.0,-100.0,0.0,top
D495,88.0,-100.0,0.0,top
D496,92.0,-100.0,0.0,top
D497,96.0,-100.0,0.0,top
D498,100.0,-100.0,0.0,top
D499,104.0,-100.0,0.0,top
D5,48.0,-40.0,0.0,top
D50,100.0,-44.0,0.0,top
D500,108.0,-100.0,0.0,top
D501,112.0,-100.0,0.0,top
D502,116.0,-100.0,0.0,top
D503,120.0,-100.0,0.0,top
D504,124.0,-100.0,0.0,top
D505,128.0,-100.0,0.0,top
D506,132.0,-100.0,0.0,top
D507,136.0,-100.0,0.0,top
D508,140.0,-100.0,0.0,top
D509,144.0,-100.0,0.0,top
D51,104.0,-44.0,0.0,top
D510,148.0,-100.0,0.0,top
D511,152.0,-100.0,0.0,top
D512,156.0,-100.0,0.0,top
D513,160.0,-100.0,0.0,top
D514,164.0,-100.0,0.0,top
D52,108.0,-44.0,0.0,top
D53,112.0,-44.0,0.0,top
D54,116.0,-44.0,0.0,top
D55,120.0,-44.0,0.0,top
D56,124.0,-44.0,0.0,top
D57,128.0,-44.0,0.0,top
D58,132.0,-44.0,0.0,top
D59,136.0,-44.0,0.0,top
D6,52.0,-40.0,0.0,top
D60,140.0,-44.0,0.0,top
D61,144.0,-44.0,0.0,top
D62,148.0,-44.0,0.0,top
D63,152.0,-44.0,0.0,top
D64,156.0,-44.0,0.0,top
D65,160.0,-44.0,0.0,top
D66,164.0,-44.0,0.0,top
D67,40.0,-48.0,0.0,top
D68,44.0,-48.0,0.0,top
D69,48.0,-48.0,0.0,top
D7,56.0,-40.0,0.0,top
D70,52.0,-48.0,0.0,top
D71,56.0,-48.0,0.0,top
D72,60.0,-48.0,0.0,top
D73,64.0,-48.0,0.0,top
D74,68.0,-48.0,0.0,top
D75,72.0,-48.0,0.0,top
D76,76.0,-48.0,0.0,top
D77,80.0,-48.0,0.0,top
D78,84.0,-48.0,0.0,top
D79,88.0,-48.0,0.0,top
D8,60.0,-40.0,0.0,top
D80,92.0,-48.0,0.0,top
D81,96.0,-48.0,0.0,top
D82,100.0,-48.0,0.0,top
D83,104.0,-48.0,0.0,top
D84,108.0,-48.0,0.0,top
D85,112.0,-48.0,0.0,top
D86,116.0,-48.0,0.0,top
D87,120.0,-48.0,0.0,top
D88,124.0,-48.0,0.0,top
D89,128.0,-48.0,0.0,top
D9,64.0,-40.0,0.0,top
D90,132.0,-48.0,0.0,top
D91,136.0,-48.0,0.0,top
D92,140.0,-48.0,0.0,top
D93,144.0,-48.0,0.0,top
D94,148.0,-48.0,0.0,top
D95,152.0,-48.0,0.0,top
D96,156.0,-48.0,0.0,top
D97,160.0,-48.0,0.0,top
D98,164.0,-48.0,0.0,top
D99,40.0,-52.0,0.0,top
FID1,186.0,-40.0,0.0,top
FID2,168.0,-106.0,0.0,top
FID3,39.0,-112.0,0.0,top
FID4,42.0,-42.0,0.0,top
J1,87.55,-115.325,180.0,top
J2,93.1,-125.674669,0.0,top
J3,98.45,-115.325,180.0,top
J4,182.605,-103.85,90.0,top
Q1,73.8,-114.137501,270.0,top
Q10,169.037501,-68.0,0.0,top
Q11,169.037501,-64.0,0.0,top
Q12,169.037501,-60.0,0.0,top
Q13,169.037501,-56.0,0.0,top
Q14,169.037501,-52.0,0.0,top
Q15,169.037501,-48.0,0.0,top
Q16,169.037501,-44.0,0.0,top
Q17,169.037501,-39.981189,0.0,top
Q18,169.037501,-100.0,0.0,top
Q19,169.037501,-96.0,0.0,top
Q2,126.8,-114.2375,270.0,top
Q20,169.037501,-92.0,0.0,top
Q21,169.037501,-88.0,0.0,top
Q22,169.037501,-84.0,0.0,top
Q23,169.037501,-80.0,0.0,top
Q24,169.037501,-76.0,0.0,top
Q25,169.037501,-72.0,0.0,top
Q3,112.1,-117.237501,270.0,top
Q4,70.4,-114.137501,270.0,top
Q5,67.0,-114.137501,270.0,top
Q6,133.6,-114.2,270.0,top
Q7,130.2,-114.2,270.0,top
R1,75.7,-110.3,270.0,top
R10,115.7,-114.35,0.0,top
R11,115.7,-116.25,0.0,top
R12,118.55,-117.335724,270.0,top
R13,181.825,-79.6,90.0,top
R14,175.1,-79.6,90.0,top
R15,183.2,-58.4,270.0,top
R16,62.249999,-114.205001,90.0,top
R17,62.125002,-129.7,90.0,top
R18,49.099999,-121.775,90.0,top
R19,91.05,-113.25,0.0,bottom
R2,73.75,-110.3,270.0,top
R20,101.95,-113.55,0.0,bottom
R21,75.1,-122.199998,90.0,top
R22,120.8,-120.9,180.0,top
R23,133.35,-120.9,180.0,top
R24,86.1,-121.1,0.0,bottom
R25,70.4,-110.3,270.0,top
R26,67.0,-110.3,270.0,top
R27,39.1,-105.2,90.0,top
R28,43.1,-105.2,90.0,top
R29,47.1,-105.2,90.0,top
R3,127.1,-110.4,270.0,top
R30,51.1,-105.2,90.0,top
R31,55.1,-105.2,90.0,top
R32,59.1,-105.2,90.0,top
R33,63.1,-105.2,90.0,top
R34,67.1,-105.2,90.0,top
R35,71.1,-105.2,90.0,top
R36,75.1,-105.2,90.0,top
R37,79.1,-105.2,90.0,top
R38,83.1,-105.2,90.0,top
R39,87.1,-105.2,90.0,top
R4,134.3,-110.4,270.0,top
R40,91.1,-105.2,90.0,top
R41,95.1,-105.2,90.0,top
R42,99.1,-105.2,90.0,top
R43,103.1,-105.2,90.0,top
R44,107.1,-105.2,90.0,top
R45,111.1,-105.2,90.0,top
R46,115.1,-105.2,90.0,top
R47,119.1,-105.2,90.0,top
R48,123.1,-105.2,90.0,top
R49,127.1,-105.2,90.0,top
R5,179.515,-42.164999,270.0,top
R50,131.1,-105.2,90.0,top
R51,135.1,-105.2,90.0,top
R52,139.1,-105.2,90.0,top
R53,143.1,-105.2,90.0,top
R54,147.1,-105.2,90.0,top
R55,151.1,-105.2,90.0,top
R56,155.1,-105.2,90.0,top
R57,159.1,-105.2,90.0,top
R58,163.1,-105.2,90.0,top
R59,132.3,-110.4,270.0,top
R6,181.503149,-46.022498,270.0,top
R60,129.7,-110.4,270.0,top
R61,78.4,-108.9,90.0,top
R62,137.3,-112.25,180.0,bottom
SW1,179.0,-69.0,90.0,top
SW2,56.4,-111.8,0.0,top
SW3,56.4,-127.7,0.0,top
SW4,43.4,-119.9,0.0,top
SW5,69.3,-120.0,0.0,top
SW6,118.9,-126.6,90.0,top
SW7,131.45,-126.6,90.0,top
U1,69.0,-106.5925,90.0,bottom
U2,178.2,-55.0,270.0,top
U3,178.775,-88.35,270.0,top
U4,133.3,-106.5925,90.0,bottom
U5,184.0,-44.039998,90.0,top
U6,172.4,-108.0,90.0,bottom
